文件名,文件头(十六进制)
7000.au,00000090010000000019910019190090
1.au,00190910100990019010190090011900
8000p.au,19000009010090010091019011110001
59.au,10190901090000910000190000009011
transmitter.au,91910000009100009001009100009001
emergency_power.au,91910000910000001099110900190000
modify.au,91000000191009001900000000000009
stall.au,00101919099100000000190000001090
4000p.au,00901000000000001990019191190019
ar.au,19000090100000009001909101001900
18.au,00199100901009001000090000110990
49.au,00000000000901010910099101199001
overspeed.au,19190019000019190000919191010900
200p.au,19001019900091911910099001911009
pound.au,00000000910000000091190091000001
5.au,00001009091000000019190991111900
69.au,90010001990101090109901199109100
38.au,00000901001900000000199110090000
minute.au,00901000190991000100009091011909
100.au,00000000000000009119900119000000
mph.au,00100900909101009001000991919001
tr_connected.au,00909101910901000090110910090091
spooldown.au,91101990000019000000190000009010
input.au,00010900000000900119000000000000
motor_on.au,19000109009100000010090010090000
28.au,10091009191900009190110991199001
lock.au,00000019000091199100100901099001
79.au,00910000000001099001101999011991
5000.au,90010000900001001900000010090019
4.au,00000000100900100900000000190000
condition.au,00000000000000009101900910001991
68.au,09011009910000000000900110190009
engine.au,10099190100000000091009001000000
39.au,00001009100991901109901019009110
1000.au,10090090911009009100911019111911
400p.au,91001900910000000091909110919001
29.au,10090091000000000091090191900100
78.au,00919190111909000091000090011991
master.au,10090901009119100900000091900190
ready.au,00910091911900000010090000910091
0.au,10099100910119990119900119009100
6000p.au,00910019910000009100009100091199
model.au,00000091000010900090011991019910
58.au,90010000190000191009000000100919
point.au,00191990010000000090010000190000
600p.au,00190000009100900100000000009190
min.au,00900110090000009119910000900100
full.au,00091010900010099091010000000091
governor.au,91009100100900910091000090910100
mah.au,10091009000000109010090000000000
3000.au,00000090010000001009900100900100
19.au,00000010090000191900000010090010
48.au,91000090019091910190011101011011
flighttime.au,00001900900100000000100900900100
output.au,91009119000000109000001009000000
36.au,90010010090091000019099101001090
67.au,90010000190019001900000000199190
100p.au,91000010090000191991010919000000
94.au,00009100199191191009101910099101
53.au,00190090109001199100190000000000
caps.au,19000001099001000000000000100990
700.au,00000000009110090000000019000090
choke.au,91100900001019900000919001190000
12.au,00000019900100900119900101090090
43.au,00100901090090019000000090000019
bar_en.au,00100900911009001990010001090010
84.au,00001900910000900190000001919100
4000.au,00910000001019099191000010991109
77.au,01091900000000901109191019990191
26.au,00000000900100109901919110090000
bank3.au,00100900100900009001001099010000
smoke.au,00101909911009000000919011090000
active.au,19911900100900000000000090100000
batt_sp.au,91001991900191901109009001001019
57.au,00910091010900919110090010090901
milliliter_en.au,19001910091991000000901091001990
63.au,91091091191900000090010000000090
volt.au,00000000000000001900000000900100
32.au,00000010199000000000000091190000
6000.au,91000091101909001900009109100090
brake.au,10090000919100000000000000199119
spoolup.au,00900100009001901109000000000090
90.au,91001919190000009001000000191991
feet.au,91009100000090100000000091001090
80.au,00009190010000000000910019900100
300p.au,10091090000000000000910000090110
22.au,19001900000000001900000000001009
73.au,00000000919119000000000000910091
land.au,00190091001099100019911900009190
seconds.au,90111909000091001009000199911199
pl_align.au,00190000000000001900190091000000
power.au,91910000901090010010099001100900
47.au,91109001090091000900090001099091
16.au,00000901010910090019190901090101
border.au,19000000009001100910009901000000
2000p.au,00000091190000190000100900199100
aerobatics.au,00001900109901910000000000000090
motor_idle.au,10091919199001001900001900900110
700p.au,90011919000000000010900019001099
56.au,10190009000000000019000000001019
62.au,00910000090190910110090199109190
33.au,00000000000019000091191009911900
91.au,00109901101909910109010000001019
81.au,00000000000000190000000091000091
23.au,00000901000019900191901109910090
72.au,19001990010000000091009100010990
46.au,00000991011990010019100001011011
taking.au,00000000199191910090010010099119
17.au,00919011090000000000000091000091
2000.au,00000090011900909191010019190019
quality.au,00000009010019900100109901001900
3d.au,10990100001900009100001019090019
p100.au,00a1b3023a2b090090c3b393c3a3214b
37.au,00009101091991900100910000000119
ampere.au,91000090019191100010901090911000
66.au,00910000000109000010991190199100
motor_off.au,00190000000091001900100990019100
95.au,00911910999110000901000090019010
ready_for_takeoff.au,00001019901009000000919001000000
52.au,00199091011000990100000000109000
turbine.au,91900110090091000091000091910010
rpm.au,00000000009110990100000000000090
600.au,19009001009010000000101909199190
13.au,91190000000000000091001910091009
42.au,10091000001900099119999190099119
buddy.au,90010090010000199100000010090000
hovering.au,00009119911919910019009001000109
85.au,19000000001909100090000001010009
76.au,91000019199100911009009010001991
bank2.au,00000991010000911090009011099100
27.au,00009119000009111919091009001991
differential.au,19000091100900009191910000100990
500p.au,91900100919011901009900100009101
rescue.au,00199100000019199119090191000001
pump.au,00001009000000001900909191011099
motor.au,19000000000000009001000019000000
900p.au,19901000000091109991019100000090
55.au,00000000001990019001919100109019
minus.au,00910010091900009001000000900190
92.au,00000019191900000000000019000009
30.au,19000000000000109091001900191910
61.au,00191009910010091090000090109190
71.au,009100000000000000191009000009a2
20.au,19900110091019090010090000011999
500.au,00000000009100001900001009901190
still.au,00000019100919009100009109010000
82.au,91009001009001919001109901190019
14.au,00009091119900010000000000000000
45.au,01091000190019100900000090099990
pressure_en.au,91009011001909101919090001090091
fps.au,91000091001990100000000091000090
sink.au,19909101000000910091100900000000
meter.au,19100991109010091991190000190090
light.au,00919010190000000091000901000090
landing.au,90101900901119900000009001199001
height.au,90019191910010091901099001009101
glow.au,00000000900100000000900110091991
off.au,90010000000119099091019010011000
log.au,90010090010019909101009091010091
connected.au,00000000000000199091010001099001
rescue_e.au,00000091900191100900001991000000
grad_c.au,00000000000000009010109901000900
bec.au,00000901911919199091010000000010
10000.au,00009100100900190000000091009100
9.au,00000000000901011909001910099011
96.au,01900000001090009101190000010900
ounce.au,00919011090090101991910000001009
65.au,10091009000019000000900190100109
34.au,00000091000000109911099001001900
millibar.au,00910000901109911900911009001990
51.au,00009000011099110900000090911000
41.au,00909101900109019001000100010101
10.au,00191900100900190000100900190090
kmh.au,19190000001900900119009001001900
900.au,00191090000000000000001009910000
bank1.au,19000000000000100919191900009100
24.au,10090000000000910019001009190090
9000p.au,00000000000000911900009110090000
75.au,10090000100900191099110991000991
86.au,00100990100019190090910010101909
watts.au,00101909919191019010090091000000
5000p.au,00000000910000000090010000000000
flow_rate_en.au,19000090019119009190010000001099
error.au,00000001990100190091001991190000
max.au,00100910090000911009000091101909
spotlight.au,10090000909101000010090000100990
8.au,00900190010000911009009119000000
97.au,91000190001000009001099101000001
minutes.au,10190900009119099100000009001022
64.au,90019001000000190000001090190199
35.au,00000091001990019100001009000000
thermal.au,10099100900100910000909101000091
800.au,00000991010000109001000100911109
50.au,19900119000000001900000090010019
40.au,00000000000019109091909101900100
hours.au,00009100000000000090010000009110
11.au,19001919009100190000009001000091
headlight.au,01090000000019900100919100009001
25.au,00900001000000190010099110090000
7000p.au,00900100009001900190010090010090
74.au,00000000000000190019009001019992
backup.au,00190010990110090000000000190090
87.au,00001009000000191919191909110900
unlock.au,00001009001009000000000000910010
half.au,00000001090019000000001009109000
sensor.au,10990100100900901109190000100900
grad_f.au,00909111091909100000000090011099
liter_en.au,00009190010091919011090000000901
gps.au,90910100190000001099110910190910
tr_disconnected.au,00100900000090001000100900100900
54.au,00000901000000910091009100100901
93.au,00001900911900100919109001100901
31.au,00001009009100000019000000190000
percent.au,91000019009001001900919100000000
60.au,19911009910000199100910090119911
8000.au,00900100190090910101919011921901
400.au,10900090100019190000901100999101
idle.au,10901901091991000000910000010900
70.au,00199100001099119901009011901900
21.au,10090000190000011909009190910191
83.au,10090000090119099191000091110919
15.au,90100090010000000000000019009100
psi.au,00001910190919190000009100901190
44.au,00000991101919900091900109910101
fuel_en.au,00000090109100000000901190099101
98.au,00009001000000000000101990010001
tr_enabled.au,00000000919001190091001919000010
7.au,10099001000000000019010910990119
temperature.au,00919119000000000000009110090019
3000p.au,00000000000000001919000000919100
ignition.au,10190901190900100900100990109001
rescue_s.au,00000000199119009100190901101909
start.au,00000001090010099100900100109901
88.au,00100991000090100000090119000100
hub.au,00009100000010901009000000009001
3.au,00919001190000010910099001901190
receiver.au,00000000001910199019009001000119
headspeed.au,00000000900110091900901000190090
800p.au,19000019909101000109010100100001
hook.au,00000901009100000000910000001900
300.au,00190001190900009100000010090000
takeoff.au,91900109919110100009000000000090
low_rpm.au,19000091000000000000919100900110
bank.au,00001919109910000000010910990190
current.au,00900100001090009001001009000091
2.au,91900110991119090010090000900191
9000.au,00000000910091000000001019199000
newton.au,00900100109910910000901109901090
clock.au,00009001901109000091910000910000
200.au,90019101900000109901000000000090
gears.au,00191991910091009191009001109010
stop.au,00009100199001000000100019090109
engaged.au,90019100009191001019900010099100
p500.au,00b1b4b3293b1aa1b3b31119b1b4a201
normal.au,00100900009001000000000000000000
1000p.au,00900001000910900000000119101011
99.au,00009001191090010019091000001090
esc.au,00109901001009190000190091000190
6.au,00911900000091900100000000009190
mps.au,91000000109010199000009100000010
speed.au,19000190000000199119190000911099
used.au,00109901000000000019000199911199
on.au,19000090100000001900190010099190
timer.au,19001900009001910000001009909110
89.au,00910019100900901019100900010001
battery.au,19000000009110990100910000900191
stabilization.au,00001009910000000090010000009191
too_fast.au,00000000000000000000009119000091
flaps.au,19000000009001100910009901000000
climb.au,00190010099091100019009100910000
