序号,原始索引,文件名,value1,value2(文件大小),value3(偏移量),value4,计算出的起点,RIFF实际起点,大小匹配,偏移匹配
1,1,batt_alarmb.wav,0,16492,0,1345497601,1544,1544,是,是
2,2,batt_alarml.wav,0,43460,16492,3497175553,18036,18036,是,是
3,3,batt_on.wav,0,9700,59952,2686233345,61496,61496,是,是
4,6,bell.wav,0,66860,74751,2690034433,76295,76295,是,是
5,7,gps_lock.wav,0,26730,141611,3764104193,143155,143155,是,是
6,8,mistake.wav,0,43528,168341,1623501825,169885,169885,是,是
7,9,nav_lock.wav,0,38838,211869,1886301441,213413,213413,是,是
8,10,nav_unlock.wav,0,46914,250707,805744129,252251,252251,是,是
9,11,screen_lock.wav,0,22094,297621,2159914497,299165,299165,是,是
10,12,screen_shot.wav,0,16376,319715,3759386369,321259,321259,是,是
11,13,screen_unlock.wav,0,22094,336091,3763580673,337635,337635,是,是
12,14,stick.wav,0,622,358185,1084927745,359729,359729,是,是
13,15,stick1.wav,0,622,358807,3232542465,360351,360351,是,是
14,16,system_alarm.wav,0,7794,359429,1085255425,360973,360973,是,是
15,17,system_alarm_batt.wav,0,20114,367223,3234705153,368767,368767,是,是
16,18,system_startup.wav,0,223496,387337,278957781,388881,388881,是,是
17,19,takeover.wav,0,45674,610833,1612492801,612377,612377,是,是
18,20,vbar_connect.wav,0,16776,656507,3771641857,658051,658051,是,是
19,21,vbar_init_ready.wav,0,37694,673283,1880142081,674827,674827,是,是
20,22,vbar_sensor_alarm.wav,0,28588,710977,3231953153,712521,712521,是,是
21,23,vbar_unconnect.wav,0,14966,739565,2148774401,741109,741109,是,是
22,24,vbasic_autotrim.wav,0,13622,754531,5157377,756075,756075,是,是
23,25,vbasic_connect.wav,0,10140,768153,1082372609,769697,769697,是,是
24,26,vbasic_unconnect.wav,0,9942,778293,4037718529,779837,779837,是,是
25,27,vmulti_connect.wav,0,42902,788235,3503403521,789779,789779,是,是
26,28,vmulti_init_ready.wav,0,29080,831137,1887023873,832681,832681,是,是
27,29,vmulti_unconnect.wav,0,49110,860217,283882241,861761,861761,是,是
28,30,vplane_autotrim.wav,0,13622,909327,4037719041,910871,910871,是,是
29,31,vplane_connect.wav,0,16776,922949,820032513,924493,924493,是,是
30,32,vplane_init_ready.wav,0,37694,939725,3223434497,941269,941269,是,是
31,33,vplane_unconnect.wav,0,14966,977419,280343809,978963,978963,是,是
32,34,vsim_connect.wav,0,46462,992385,2431628545,993929,993929,是,是
33,35,vsim_unconnect.wav,0,46910,1038847,547730945,1040391,1040391,是,是
