序号,起点,大小,终点
1,1544,16492,18036
2,18036,43460,61496
3,61496,9700,71196
4,76295,66860,143155
5,143155,26730,169885
6,169885,43528,213413
7,213413,38838,252251
8,252251,46914,299165
9,299165,22094,321259
10,321259,16376,337635
11,337635,22094,359729
12,359729,622,360351
13,360351,622,360973
14,360973,7794,368767
15,368767,20114,388881
16,388881,223496,612377
17,612377,45674,658051
18,658051,16776,674827
19,674827,37694,712521
20,712521,28588,741109
21,741109,14966,756075
22,756075,13622,769697
23,769697,10140,779837
24,779837,9942,789779
25,789779,42902,832681
26,832681,29080,861761
27,861761,49110,910871
28,910871,13622,924493
29,924493,16776,941269
30,941269,37694,978963
31,978963,14966,993929
32,993929,46462,1040391
33,1040391,46910,1087301
